Temperature,Humidity,NDVI,Built-up,Population,Latitude,Longitude,Risk
35,45,0.64,65,9705,9.4297,68.9623,Low
29,67,0.79,87,35961,13.8863,82.3428,Low
42,61,0.23,68,4249,9.056,70.3109,Medium
45,82,0.2,57,6557,28.9995,69.0337,Medium
33,52,0.21,55,25581,17.5262,68.845,Low
46,60,0.59,22,34722,23.9148,70.4774,Low
30,36,0.73,39,9555,29.869,90.2639,Low
33,58,0.46,25,24758,19.0236,96.4365,Low
45,27,0.26,33,26204,27.4154,81.3362,Low
42,31,0.56,91,8012,15.472,70.337,Medium
44,40,0.53,84,43928,31.7969,77.4447,Medium
28,77,0.33,36,27686,11.5882,72.4033,Low
48,57,0.28,71,18785,31.3072,80.1425,High
42,25,0.26,67,48839,20.5404,80.9457,Medium
37,54,0.6,42,17689,12.2106,82.001,Low
40,49,0.57,27,8709,28.9321,68.1489,Low
35,25,0.53,65,39060,21.9141,83.5243,Low
40,63,0.7,30,5793,20.5208,73.4822,Low
32,89,0.66,54,6730,22.1968,72.4658,Low
29,35,0.64,71,9675,36.5917,85.79,Low
36,45,0.34,89,18507,32.6832,93.4485,Medium
48,28,0.48,48,16597,18.5245,92.7162,Low
37,74,0.24,71,23892,17.8032,78.1863,Medium
39,55,0.19,94,36481,21.6682,85.8394,Medium
28,33,0.64,34,24237,29.0463,76.261,Low
39,55,0.66,64,7514,27.8781,90.9771,Medium
41,75,0.23,52,32722,25.0644,92.634,Medium
39,59,0.31,58,5462,33.3476,96.5835,Medium
39,46,0.62,80,45646,15.5082,77.5041,Medium
36,21,0.18,41,18269,34.05,95.544,Low
42,90,0.6,60,44918,14.4718,80.7934,Medium
45,86,0.35,33,20689,18.455,96.5594,Low
37,34,0.75,52,19384,32.2174,84.5938,Medium
36,77,0.17,73,15683,18.2338,74.1918,Medium
40,84,0.48,33,37107,25.4551,86.1618,Low
33,59,0.6,65,34804,20.9673,78.4273,Low
47,22,0.75,41,10741,26.6092,84.5987,Low
48,24,0.27,87,47058,28.3904,79.7654,High
37,69,0.28,22,47773,18.9215,94.5509,Low
37,50,0.4,87,9210,16.0343,80.17,Medium
36,58,0.75,44,19853,19.3986,88.6036,Low
47,55,0.78,80,33738,18.0363,92.6539,Medium
48,54,0.14,37,5311,18.8631,95.0672,Low
47,51,0.64,66,22994,27.6427,93.1944,Medium
38,48,0.24,80,15633,17.7788,95.4843,Medium
45,33,0.31,20,9945,32.969,88.305,Low
46,25,0.69,25,34092,28.3676,71.7932,Low
30,79,0.38,35,19744,35.7413,72.3803,Low
43,70,0.56,94,40113,24.7721,91.3824,Medium
45,88,0.49,54,46188,32.8744,79.3251,Medium
29,71,0.52,77,29020,35.2879,88.6325,Low
35,43,0.2,75,42335,10.8747,95.9376,Low
28,69,0.73,84,43482,29.1584,80.2646,Low
29,26,0.29,33,19646,10.5036,83.1887,Low
36,49,0.38,39,17373,31.3387,85.2927,Low
47,71,0.64,61,26816,21.8689,87.3558,Medium
36,29,0.37,27,25342,15.8791,93.5257,Low
34,31,0.22,41,29991,23.962,84.9378,Low
39,86,0.29,59,4896,29.3498,72.6795,Medium
36,20,0.37,30,31068,18.0061,84.0958,Low
31,87,0.56,62,43664,23.3208,88.4408,Low
44,61,0.55,48,21307,29.4937,76.533,Low
30,36,0.42,30,24727,28.7824,72.6705,Low
48,42,0.53,52,42388,18.6796,93.012,Medium
30,28,0.33,83,30541,30.9028,94.4857,Low
42,59,0.28,43,12197,20.2171,78.1632,Low
40,34,0.71,26,11717,24.9509,76.7313,Low
36,83,0.55,55,43235,20.3669,71.4166,Medium
37,61,0.74,84,9638,36.5408,74.4762,Medium
31,57,0.78,57,36110,24.5278,70.2665,Low
32,41,0.78,53,9598,30.108,89.3647,Low
29,56,0.69,74,27176,17.537,77.1676,Low
37,80,0.44,76,8296,26.2309,95.4182,Medium
42,20,0.45,30,31033,18.5506,75.7895,Low
32,56,0.73,25,45802,18.6318,68.5163,Low
44,64,0.67,33,18133,14.0801,96.9339,Low
32,26,0.39,36,37439,20.5598,74.769,Low
32,42,0.21,93,27066,12.4983,78.1946,Low
34,79,0.61,41,20825,15.7506,77.5132,Low
38,80,0.56,31,30056,16.3875,93.3506,Low
35,60,0.72,90,20026,31.8955,83.3815,Low
45,80,0.1,93,37554,30.5829,70.3729,High
37,68,0.72,94,9810,36.473,79.5292,Medium
38,61,0.35,43,13296,9.7201,89.1195,Low
30,59,0.42,72,8926,18.3599,77.1148,Low
